model,rating,n_ratings,ram_gb,storage_gb,b_camera_mp,f_camera_mp,battery_mah,price_inr
"OPPO A16 (Pearl Blue, 64 GB)",4.3,4035,4,64,13.0,8.0,5000,13999
"OPPO A55 (Starry Black, 128 GB)",4.3,1272,4,128,50.0,16.0,5000,13999
"OPPO A53 (Mint Cream, 64 GB)",4.5,82838,4,64,13.0,16.0,5000,11990
"OPPO A3s (Red, 16 GB)",4.4,29604,2,16,13.0,8.0,4230,11990
"OPPO F19 (Prism Black, 128 GB)",4.3,28408,6,128,48.0,16.0,5000,15490
"OPPO Reno3 Pro (Midnight Black, 128 GB)",4.4,4710,8,128,64.0,44.0,4025,32990
"OPPO Reno3 Pro (Midnight Black, 256 GB)",4.4,4710,8,256,64.0,44.0,4025,35990
"OPPO Find N2 Flip (Astral Black, 256 GB)",4.3,210,8,256,50.0,32.0,4300,89999
"OPPO A15 (Mystery Blue, 32 GB)",4.0,258,2,32,13.0,5.0,4230,10990
"OPPO A3s (Purple, 16 GB)",4.4,29604,2,16,13.0,8.0,4230,11990
"OPPO K10 (Black Carbon, 128 GB)",4.3,5264,8,128,50.0,16.0,5000,16990
"OPPO A16k (Black, 32 GB)",4.3,700,3,32,13.0,5.0,4230,9490
"OPPO A33 (Moonlight Black, 32 GB)",4.4,51589,3,32,13.0,8.0,5000,10490
"OPPO A16E (Blue, 32 GB)",4.3,916,3,32,13.0,5.0,4230,9990
"OPPO A15 (Dynamic Black, 32 GB)",4.0,258,2,32,13.0,5.0,4230,9990
"OPPO A74 5G (Fantastic Purple, 128 GB)",4.3,1253,6,128,48.0,8.0,5000,19000
"OPPO K10 5G (Ocean Blue, 128 GB)",4.4,69762,8,128,48.0,8.0,5000,25999
"OPPO A33 (Mint Cream, 32 GB)",4.4,51589,3,32,13.0,8.0,5000,9090
"OPPO F7 (Black, 128 GB)",4.5,2384,6,128,16.0,25.0,3400,27990
"OPPO F7 (Red, 128 GB)",4.5,2384,6,128,16.0,25.0,3400,27990
"OPPO A74 5G BLACK (Fluid Black, 128 GB)",4.3,1887,6,128,48.0,8.0,5000,17899
"OPPO F17 Pro (Metallic White, 128 GB)",4.3,28618,8,128,48.0,16.0,4015,18999
"OPPO F17 Pro (Magic Blue, 128 GB)",4.3,28618,8,128,48.0,16.0,4015,19990
"OPPO A12 (Blue, 32 GB)",4.4,75515,3,32,13.0,5.0,4230,9990
"OPPO F7 (Black, 128 GB)",4.5,2384,6,128,16.0,25.0,3400,27990
"OPPO A31 (Mystery Black, 128 GB)",4.3,29964,6,128,12.0,8.0,4230,12149
"OPPO A31 (Lake Green, 64 GB)",4.3,22149,4,64,12.0,8.0,4230,12990
"OPPO A74 5G BLACK (Fluid Black, 128 GB)",4.3,1887,6,128,48.0,8.0,5000,17899
"OPPO F17 Pro (Magic Blue, 128 GB)",4.3,28618,8,128,48.0,16.0,4015,19990
"OPPO A1K (Black, 32 GB)",4.3,14189,2,32,8.0,5.0,4000,8090
"OPPO A74 5G (Fantastic Purple, 128 GB)",4.3,1253,6,128,48.0,8.0,5000,20980
"OPPO Reno6 5G (Aurora, 128 GB)",4.3,53573,8,128,64.0,32.0,4300,29990
"OPPO A55 (Mint Green, 128 GB)",4.3,1272,4,128,50.0,16.0,5000,13999
"OPPO F7 (Red, 128 GB)",4.5,2384,6,128,16.0,25.0,3400,27990
"OPPO A96 (Sunset Blue, 128 GB)",4.3,1081,8,128,50.0,16.0,5000,17999
"OPPO A55 (Rainbow Blue, 128 GB)",4.3,1272,4,128,50.0,16.0,5000,13999
"OPPO A12 (Blue, 64 GB)",4.4,67861,4,64,13.0,5.0,4230,10990
"OPPO A55 (Rainbow Blue, 64 GB)",4.3,1272,4,64,50.0,16.0,5000,13499
"OPPO A12 (Blue, 32 GB)",4.4,75515,3,32,13.0,5.0,4230,9990
"OPPO F17 Pro (Metallic White, 128 GB)",4.3,28618,8,128,48.0,16.0,4015,18999
"OPPO Reno5 Pro 5G (Astral Blue, 128 GB)",4.4,9706,8,128,64.0,32.0,4350,35990
"OPPO A12 (Flowing Silver, 32 GB)",4.4,75515,3,32,13.0,5.0,4230,9990
"OPPO A31 (Mystery Black, 64 GB)",4.3,22149,4,64,12.0,8.0,4230,10920
"OPPO A53 (Fairy White, 128 GB)",4.4,56140,6,128,13.0,16.0,5000,13990
"OPPO F19 Pro+ 5G (Fluid Black, 128 GB)",4.4,31683,8,128,48.0,16.0,4310,19990
"OPPO A12 (Flowing Silver, 64 GB)",4.4,67861,4,64,13.0,5.0,4230,10990
"OPPO F3 Deepika Padukone Limited Edition (Rose Gold, 64 GB)",4.3,259,4,64,13.0,16.0,3200,20990
"OPPO A55 (Starry Black, 64 GB)",4.3,1272,4,64,50.0,16.0,5000,14999
"OPPO A52 (Stream White, 128 GB)",4.5,152,8,128,12.0,16.0,5000,20990
"OPPO A52 (Twilight Black, 128 GB)",4.5,152,8,128,12.0,16.0,5000,20990
"OPPO A53s 5G (Ink Black, 128 GB)",4.4,68944,6,128,13.0,8.0,5000,15990
"OPPO A12 (Deep Blue, 64 GB)",4.4,67861,4,64,13.0,5.0,4230,10990
"OPPO A12 (Deep Blue, 32 GB)",4.4,75515,3,32,13.0,5.0,4230,9990
"OPPO A11K (Deep Blue, 32 GB)",4.2,7395,2,32,13.0,5.0,4230,8490
"OPPO A76 (Glowing Black, 128 GB)",4.3,469,6,128,13.0,8.0,5000,16490
"OPPO F19 (Midnight Blue, 128 GB)",4.3,28408,6,128,48.0,16.0,5000,15490
"OPPO A11K (Flowing Silver, 32 GB)",4.2,7395,2,32,13.0,5.0,4230,7990
"OPPO A53s 5G (Crystal Blue, 128 GB)",4.4,68944,6,128,13.0,8.0,5000,15990
"OPPO A1K (Red, 32 GB)",4.3,14189,2,32,8.0,5.0,4000,8590
"OPPO A53 (Mint Cream, 128 GB)",4.4,56140,6,128,13.0,16.0,5000,13990
"OPPO F19 Pro+ 5G (Space Silver, 128 GB)",4.4,31683,8,128,48.0,16.0,4310,19990
"OPPO Reno3 Pro (Sky White, 256 GB)",4.4,4710,8,256,64.0,44.0,4025,35990
"OPPO R17 Pro (Radiant Mist, 128 GB)",4.2,553,8,128,12.0,25.0,3700,49990
"OPPO Reno3 Pro (Auroral Blue, 128 GB)",4.4,4710,8,128,64.0,44.0,4025,32990
"OPPO Reno3 Pro (Sky White, 128 GB)",4.4,4710,8,128,64.0,44.0,4025,32990
"OPPO F5 (Black, 32 GB)",4.4,5785,4,32,16.0,20.0,3200,19990
"OPPO A 57e (Black, 64 GB)",4.1,23,4,64,13.0,8.0,5000,13989
"OPPO A5 2020 (Dazzling White, 64 GB)",4.4,3059,3,64,12.0,8.0,5000,14990
"OPPO A9 (Fluorite Purple, 128 GB)",4.4,1362,4,128,16.0,16.0,4020,16990
"Google Pixel 6a (Chalk, 128 GB)",4.3,45924,6,128,12.2,8.0,4410,31999
"Google Pixel 6a (Charcoal, 128 GB)",4.3,45924,6,128,12.2,8.0,4410,31999
"Google Pixel 7 (Snow, 128 GB)",4.4,4581,8,128,50.0,10.8,4270,56999
"Google Pixel 7 (Obsidian, 128 GB)",4.4,4581,8,128,50.0,10.8,4270,56999
"Google Pixel 7 (Lemongrass, 128 GB)",4.4,4581,8,128,50.0,10.8,4270,56999
"Google Pixel 7a (Charcoal, 128 GB)",4.0,1994,8,128,64.0,13.0,4300,43999
"Google Pixel 7a (Sea, 128 GB)",4.0,1994,8,128,64.0,13.0,4300,43999
"Google Pixel 7a (Snow, 128 GB)",4.0,1994,8,128,64.0,13.0,4300,43999
"Google Pixel 7 Pro (Obsidian, 128 GB)",4.4,2642,12,128,50.0,10.8,4926,84999
"Google Pixel 7 Pro (Snow, 128 GB)",4.4,2642,12,128,50.0,10.8,4926,84999
"Google Pixel 7 Pro (Hazel, 128 GB)",4.4,2642,12,128,50.0,10.8,4926,84999
"Google Pixel 7 Smartphone (Obsidian, 128 GB)",0.0,0,8,128,50.0,10.8,4270,54499
"Google Pixel 7 Pro Mobile (Snow, 128 GB)",0.0,0,12,128,50.0,10.8,4926,79999
"Google Pixel 7 Smartphone (Snow, 128 GB)",0.0,0,8,128,50.0,10.8,4270,54999
"Google Pixel 3 (Not Pink, 128 GB)",4.5,1457,4,128,12.2,8.0,2915,80000
"vivo T2x 5G (Aurora Gold, 128 GB)",4.4,9674,8,128,50.0,8.0,5000,15999
"vivo T2x 5G (Aurora Gold, 128 GB)",4.4,40179,6,128,50.0,8.0,5000,13999
"vivo T2x 5G (Marine Blue, 128 GB)",4.4,9674,8,128,50.0,8.0,5000,15999
"vivo T2x 5G (Glimmer Black, 128 GB)",4.4,40179,6,128,50.0,8.0,5000,13999
"vivo T2x 5G (Glimmer Black, 128 GB)",4.4,9674,8,128,50.0,8.0,5000,15999
"vivo T2x 5G (Marine Blue, 128 GB)",4.4,40179,6,128,50.0,8.0,5000,13999
"vivo T2x 5G (Marine Blue, 128 GB)",4.5,22528,4,128,50.0,8.0,5000,12999
"vivo T2x 5G (Aurora Gold, 128 GB)",4.5,22528,4,128,50.0,8.0,5000,12999
"vivo T2x 5G (Glimmer Black, 128 GB)",4.5,22528,4,128,50.0,8.0,5000,12999
"vivo T2 5G (Velocity Wave, 128 GB)",4.4,4264,8,128,64.0,16.0,4500,20999
"vivo T2 5G (Nitro Blaze, 128 GB)",4.4,4264,8,128,64.0,16.0,4500,20999
"vivo T2 5G (Velocity Wave, 128 GB)",4.5,22618,6,128,64.0,16.0,4500,18999
"vivo T2 5G (Nitro Blaze, 128 GB)",4.5,22618,6,128,64.0,16.0,4500,18999
"vivo T1 44W (Ice Dawn, 128 GB)",4.3,6963,8,128,50.0,16.0,5000,17999
"vivo T1 44W (Midnight Galaxy, 128 GB)",4.3,6963,8,128,50.0,16.0,5000,17999
"vivo T1 44W (Ice Dawn, 128 GB)",4.4,61172,6,128,50.0,16.0,5000,15999
"vivo T1 44W (Midnight Galaxy, 128 GB)",4.4,61172,6,128,50.0,16.0,5000,15999
"vivo T1 44W (Starry Sky, 128 GB)",4.4,61172,6,128,50.0,16.0,5000,15999
"vivo T1 44W (Midnight Galaxy, 128 GB)",4.5,106943,4,128,50.0,16.0,5000,14499
"vivo T1 44W (Starry Sky, 128 GB)",4.5,106943,4,128,50.0,16.0,5000,14499
"vivo T1 44W (Starry Sky, 128 GB)",4.3,6963,8,128,50.0,16.0,5000,17999
"vivo V27 5G (Magic Blue, 128 GB)",4.4,13774,8,128,50.0,50.0,4600,32999
"vivo V27 5G (Noble Black, 128 GB)",4.4,13774,8,128,50.0,50.0,4600,32999
"vivo Y16 (Steller Black, 128 GB)",4.3,2702,4,128,13.0,5.0,5000,12999
"vivo Y16 (Drizzling Gold, 64 GB)",4.3,2483,3,64,13.0,5.0,5000,10499
"vivo Y35 (Dawn Gold, 128 GB)",4.4,3153,8,128,50.0,16.0,5000,16999
"vivo Y35 (Agate Black, 128 GB)",4.4,3153,8,128,50.0,16.0,5000,16999
"vivo Y16 (Steller Black, 64 GB)",4.3,2702,4,64,13.0,5.0,5000,11999
"vivo Y16 (Steller Black, 64 GB)",4.3,2483,3,64,13.0,5.0,5000,10999
"vivo Y12G (Phantom Black, 64 GB)",4.3,4622,3,64,13.0,8.0,5000,11218
"vivo Y16 (Drizzling Gold, 128 GB)",4.3,2702,4,128,13.0,5.0,5000,12999
"vivo V25 5G (Surfing Blue, 256 GB)",4.3,1651,12,256,64.0,50.0,4500,31999
"vivo V23 5G (Stardust Black, 256 GB)",4.3,3359,12,256,64.0,50.0,4200,28215
"vivo Y16 (Drizzling Gold, 128 GB)",4.3,2702,4,128,13.0,5.0,5000,12868
"vivo Y16 (Drizzling Gold, 64 GB)",4.3,2702,4,64,13.0,5.0,5000,11999
"vivo V25 5G (Surfing Blue, 128 GB)",4.3,7628,8,128,64.0,50.0,4500,25990
"vivo V25 5G (Elegant Black, 128 GB)",4.3,7628,8,128,64.0,50.0,4500,27999
"vivo Y33s (Midday Dream, 128 GB)",4.3,12835,8,128,50.0,16.0,5000,17899
"vivo Y16 (Stellar Black, 128 GB)",4.3,2702,4,128,13.0,5.0,5000,12890
"vivo V27 5G (Magic Blue, 256 GB)",4.4,1897,12,256,50.0,50.0,4600,36999
"vivo Y16 (Steller Black, 32 GB)",4.3,2483,3,32,13.0,5.0,5000,10989
"vivo Y16 (Drizzling Gold, 32 GB)",4.3,2483,3,32,13.0,5.0,5000,10989
"vivo Y56 5G (Black Engine, 128 GB)",4.2,1100,8,128,50.0,16.0,5000,19999
"vivo V23 5G (Stardust Black, 128 GB)",4.4,26425,8,128,64.0,50.0,4200,28485
"vivo Y1s (Aurora Blue, 32 GB)",4.3,1794,3,32,13.0,5.0,4030,9989
"vivo Y56 5G (Orange Shimmer, 128 GB)",4.2,1100,8,128,50.0,16.0,5000,19999
"vivo Y56 5G (Black Engine, 128 GB)",4.3,86,4,128,50.0,16.0,5000,17999
"vivo Y100 5G (Pacific Blue, 128 GB)",4.3,1326,8,128,64.0,16.0,4500,23999
"vivo Y100 5G (Twilight Gold, 128 GB)",4.3,1326,8,128,64.0,16.0,4500,23999
"vivo T1 Pro 5G (Turbo Black, 128 GB)",4.4,19641,8,128,64.0,16.0,4700,24999
"vivo Y73 (Roman Black, 128 GB)",4.4,10127,8,128,64.0,16.0,4000,17690
"vivo V23 5G (Sunshine Gold, 128 GB)",4.4,26425,8,128,64.0,50.0,4200,31989
"vivo Y75 (Dancing waves, 128 GB)",4.3,2698,8,128,50.0,44.0,4050,19990
"vivo Y56 5G (Orange Shimmer, 128 GB)",4.3,86,4,128,50.0,16.0,5000,17999
"vivo T1 Pro 5G (Turbo Cyan, 128 GB)",4.4,19641,8,128,64.0,16.0,4700,24999
"vivo T1 Pro 5G (Turbo Black, 128 GB)",4.4,8984,6,128,64.0,16.0,4700,23999
"vivo Y33s (Mirror Black, 128 GB)",4.3,12835,8,128,50.0,16.0,5000,15999
"vivo X90 (Asteroid Black, 256 GB)",4.3,109,12,256,50.0,32.0,4810,63999
"vivo V25 5G (Elegant Black, 256 GB)",4.3,1651,12,256,64.0,50.0,4500,29490
"vivo Y100A (Twilight Gold, 256 GB)",4.3,27,8,256,64.0,16.0,4500,25999
"vivo Y100A (Metal Black, 256 GB)",4.3,27,8,256,64.0,16.0,4500,25999
"vivo Y21G (Diamond Glow, 64 GB)",4.3,2304,4,64,13.0,8.0,5000,17990
"vivo X90 (Breeze Blue, 256 GB)",4.5,313,8,256,50.0,32.0,4810,59999
"vivo Y21T (Pearl White, 128 GB)",4.4,1727,4,128,50.0,8.0,5000,15499
"vivo Y73 (Diamond Flare, 128 GB)",4.4,10127,8,128,64.0,16.0,4000,19990
"vivo X90 (Breeze Blue, 256 GB)",4.3,109,12,256,50.0,32.0,4810,63999
"vivo V27 Pro 5G (Magic Blue, 256 GB)",4.5,881,12,256,50.0,50.0,4600,42999
"vivo V25 Pro 5G (Pure Black, 256 GB)",4.3,1126,12,256,64.0,32.0,4830,31185
"vivo X90 (Asteroid Black, 256 GB)",4.5,313,8,256,50.0,32.0,4810,59999
"vivo Y21T (Midnight Blue, 128 GB)",4.4,1727,4,128,50.0,8.0,5000,15499
"vivo V23e 5G (Sunshine Gold, 128 GB)",4.2,2440,8,128,50.0,44.0,4050,24990
"vivo T1 Pro 5G (Turbo Cyan, 128 GB)",4.4,8984,6,128,64.0,16.0,4700,23999
"vivo Y565G (Orange Shimmer, 128 GB)",4.4,426,8,128,50.0,16.0,5000,19979
"vivo Y22 (Starlit Blue, 128 GB)",4.3,1320,6,128,50.0,8.0,5000,19990
"vivo V23e 5G (Midnight Blue, 128 GB)",4.2,2440,8,128,50.0,44.0,4050,24899
"vivo V25 Pro 5G (Sailing Blue, 256 GB)",4.3,1126,12,256,64.0,32.0,4830,33890
"vivo V25 Pro 5G (Sailing Blue, 128 GB)",4.3,6743,8,128,64.0,32.0,4830,35999
"vivo Y565G (Black Engine, 128 GB)",4.4,426,8,128,50.0,16.0,5000,19989
"vivo V27 Pro 5G (Noble Black, 256 GB)",4.4,5070,8,256,50.0,50.0,4600,39999
"vivo Y21G (Midnight Blue, 64 GB)",4.3,2304,4,64,13.0,8.0,5000,13980
"vivo Y100 5G (Metal Black, 128 GB)",4.3,1326,8,128,64.0,16.0,4500,25499
"vivo V25 Pro 5G (Pure Black, 128 GB)",4.3,6743,8,128,64.0,32.0,4830,35999
"vivo V27 5G (Noble Black, 256 GB)",4.4,1897,12,256,50.0,50.0,4600,36999
"vivo V27 Pro 5G (Magic Blue, 256 GB)",4.4,5070,8,256,50.0,50.0,4600,39999
"vivo V27 Pro 5G (Magic Blue, 128 GB)",4.4,5070,8,128,50.0,50.0,4600,37999
"vivo V27 Pro 5G (Noble Black, 128 GB)",4.4,5070,8,128,50.0,50.0,4600,37999
"vivo V21 5G (Dusk Blue, 128 GB)",4.3,17455,8,128,64.0,44.0,4000,27990
"vivo V21 5G (Sunset Dazzle, 128 GB)",4.3,17455,8,128,64.0,44.0,4000,27990
"vivo X90 Pro (Legendary Black, 256 GB)",4.4,220,12,256,50.0,32.0,4870,84999
"vivo Y22 (Metaverse Green, 128 GB)",4.3,1320,6,128,50.0,8.0,5000,19990
"vivo Y22 (Metaverse Green, 64 GB)",4.3,1367,4,64,50.0,8.0,5000,17990
"vivo Y22 (Starlit Blue, 64 GB)",4.3,1367,4,64,50.0,8.0,5000,17990
"vivo T1 5G (Rainbow Fantasy, 128 GB)",4.3,17707,8,128,50.0,16.0,5000,19990
"vivo Y22 (Starlit Blue, 128 GB)",4.3,1367,4,128,50.0,8.0,5000,14999
"vivo T1X (Gravity Black, 64 GB)",4.5,92258,4,64,50.0,8.0,5000,16990
"vivo T1X (Space Blue, 64 GB)",4.5,92258,4,64,50.0,8.0,5000,16990
"vivo T1X (Space Blue, 128 GB)",4.4,5319,6,128,50.0,8.0,5000,14999
"vivo T1X (Gravity Black, 128 GB)",4.4,5319,6,128,50.0,8.0,5000,14999
"vivo T1X (Space Blue, 128 GB)",4.5,92258,4,128,50.0,8.0,5000,12999
"vivo Y73 (Roman Black, 128 GB)",4.4,10127,8,128,64.0,16.0,4000,22000
"vivo Y01 (Elegant Black, 32 GB)",4.2,1609,2,32,8.0,5.0,5000,7999
"vivo T1 44W (Ice Dawn, 128 GB)",4.5,106943,4,128,50.0,16.0,5000,14499
"vivo Y12G (Glacier Blue, 32 GB)",4.3,4622,3,32,13.0,8.0,5000,10499
"vivo V23 5G (Sunshine Gold, 256 GB)",4.3,3359,12,256,64.0,50.0,4200,34990
"vivo Y12G (Glacier Blue, 64 GB)",4.3,4622,3,64,13.0,8.0,5000,11899
"vivo Y1s (Olive Black, 32 GB)",4.3,1794,3,32,13.0,5.0,4030,9490
"vivo Y75 (Moonlight Shadow, 128 GB)",4.3,2698,8,128,50.0,44.0,4050,16988
"vivo Y20T (Purist Blue, 64 GB)",4.3,2531,6,64,13.0,8.0,5000,14640
"vivo V21 5G (Dusk Blue, 256 GB)",4.3,17455,8,256,64.0,44.0,4000,25999
"vivo T1 5G (Starlight Black, 128 GB)",4.4,175223,6,128,50.0,16.0,5000,16990
"vivo T1 5G (Rainbow Fantasy, 128 GB)",4.3,67447,4,128,50.0,16.0,5000,15990
"vivo T1 5G (Starlight Black, 128 GB)",4.3,67447,4,128,50.0,16.0,5000,15990
"vivo T1 5G (Silky White, 128 GB)",4.3,67447,4,128,50.0,16.0,5000,15990
"vivo Y20T (Obsidian Black, 64 GB)",4.3,2531,6,64,13.0,8.0,5000,15490
"vivo Y75 5G (Glowing Galaxy, 128 GB)",4.4,1370,8,128,50.0,16.0,5000,21990
"vivo T1 5G (Silky White, 128 GB)",4.4,175223,6,128,50.0,16.0,5000,16990
"vivo Y75 5G (Starlight Black, 128 GB)",4.4,1370,8,128,50.0,16.0,5000,21990
"vivo Y100A (Pacific Blue, 256 GB)",4.3,27,8,256,64.0,16.0,4500,25990
"vivo V21 5G (Sunset Dazzle, 256 GB)",4.3,17455,8,256,64.0,44.0,4000,30990
"vivo Y22 (Starlit Blue, 128 GB)",4.3,1367,4,128,50.0,8.0,5000,14990
"vivo Y12G (Phantom Black, 32 GB)",4.3,4622,3,32,13.0,8.0,5000,10990
"vivo Y02 (Cosmic Grey, 32 GB)",4.3,542,3,32,8.0,5.0,5000,12999
"vivo Y15c (Wave Green, 32 GB)",4.2,1405,3,32,13.0,8.0,5000,11490
"vivo Y22 (Metaverse Green, 128 GB)",4.3,1367,4,128,50.0,8.0,5000,14889
"vivo Y15c (Wave Green, 64 GB)",4.2,1405,3,64,13.0,8.0,5000,11699
"vivo Y02 (Orchid Blue, 32 GB)",4.3,542,3,32,8.0,5.0,5000,12999
"vivo Y20G (Obsidian Black, 128 GB)",4.3,6342,6,128,13.0,8.0,5000,17499
"vivo Y15s (Wave Green, 32 GB)",4.3,4402,3,32,13.0,8.0,5000,9499
"vivo V25 Pro 5G (sailing blue, 128 GB)",4.3,6743,8,128,64.0,32.0,4830,28990
"vivo Y15c (Mystic Blue, 32 GB)",4.2,1405,3,32,13.0,8.0,5000,11390
"vivo X60 (Midnight Black, 256 GB)",4.4,1077,12,256,48.0,32.0,4300,46990
"vivo Y91i (Ocean Blue, 32 GB)",4.3,43082,2,32,13.0,5.0,4030,9990
"vivo X60 (Midnight Black, 128 GB)",4.4,3957,8,128,48.0,32.0,4300,37999
"vivo X60 (Shimmer Blue, 128 GB)",4.4,3957,8,128,48.0,32.0,4300,37990
"vivo V23 Pro 5G (Stardust Black, 128 GB)",4.3,3848,8,128,108.0,50.0,4300,38990
"vivo V23 Pro 5G (Stardust Black, 256 GB)",4.2,1580,12,256,108.0,50.0,4300,43990
"vivo X70 Pro (Aurora Dawn, 256 GB)",4.4,970,12,256,50.0,32.0,4450,47990
"vivo V27 5G (Noble Black, 256 GB)",4.4,1897,12,256,50.0,50.0,4600,39998
"vivo Y21 (Diamond Glow, 64 GB)",4.3,14939,4,64,13.0,8.0,5000,17449
"vivo X70 Pro (Cosmic Black, 256 GB)",4.4,970,12,256,50.0,32.0,4450,50990
"vivo X70 Pro (Cosmic Black, 256 GB)",4.4,970,12,256,50.0,32.0,4450,50990
"vivo X70 Pro (Cosmic Black, 256 GB)",4.5,3791,8,256,50.0,32.0,4450,46990
"vivo X70 Pro (Cosmic Black, 128 GB)",4.5,3791,8,128,50.0,32.0,4450,44990
"vivo V27 5G (Noble Black, 256 GB)",4.4,1897,12,256,50.0,50.0,4600,36999
"vivo Y100 A 5G (Twilight Gold, 256 GB)",3.7,9,8,256,64.0,16.0,4500,26990
"vivo T1X (Gravity Black, 128 GB)",4.5,92258,4,128,50.0,8.0,5000,16999
"vivo Y30 (Emerald Black, 128 GB)",4.3,14249,4,128,13.0,8.0,5000,18990
"vivo Y20i (Dawn White, 64 GB)",4.4,10887,3,64,13.0,8.0,5000,13499
"vivo V11 (Starry Night Black, 64 GB)",4.5,17911,6,64,16.0,25.0,3315,24990
"vivo Y100 A 5G (Metal Black, 256 GB)",3.7,9,8,256,64.0,16.0,4500,26499
"vivo X70 Pro (Aurora Dawn, 128 GB)",4.5,3791,8,128,50.0,32.0,4450,43990
"vivo X70 Pro (Aurora Dawn, 256 GB)",4.5,3791,8,256,50.0,32.0,4450,48990
"vivo Y100 A 5G (Pacific Blue, 256 GB)",3.7,9,8,256,64.0,16.0,4500,27700
"vivo U10 (Electric Blue, 32 GB)",4.4,44968,3,32,13.0,8.0,5000,10990
"vivo U10 (Thunder Black, 32 GB)",4.4,44968,3,32,13.0,8.0,5000,10990
"vivo V25 pro (Sailing Blue, 128 GB)",0.0,0,8,128,64.0,32.0,4830,28990
"vivo X80 (Urban Blue, 128 GB)",4.5,841,8,128,50.0,32.0,4500,54999
"vivo Z1Pro (Mirror Black, 64 GB)",4.5,360377,4,64,16.0,32.0,5000,15990
"vivo U10 (Electric Blue, 64 GB)",4.4,44968,3,64,13.0,8.0,5000,10999
"vivo X21 (Black, 128 GB)",4.3,1897,6,128,12.0,12.0,3200,36990
"vivo X80 (Cosmic Black, 128 GB)",4.5,841,8,128,50.0,32.0,4500,54999
"vivo V7+ (Gold, 64 GB)",4.4,17528,4,64,16.0,24.0,3225,22221
"vivo V21 5G (Arctic White, 128 GB)",4.3,17455,8,128,64.0,44.0,4000,27990
"vivo V9 Youth (Black, 32 GB)",4.4,26963,4,32,16.0,16.0,3260,19990
"vivo Y69 (Gold, 32 GB)",4.3,5648,3,32,13.0,16.0,3000,14990
"vivo Y02t (Sunset Gold, 64 GB)",4.3,42,4,64,8.0,5.0,5000,9999
"vivo Y91 (Nebula Purple, 32 GB)",4.4,16017,3,32,13.0,8.0,4030,10990
"vivo X70 Pro (Aurora Dawn, 256 GB)",4.5,3791,8,256,50.0,32.0,4450,48990
"vivo Y81 (Black, 32 GB)",4.4,51306,3,32,13.0,5.0,3260,13990
"vivo X80 (Urban Blue, 128 GB)",4.5,841,8,128,50.0,32.0,4500,54999
"vivo V9 (Sapphire Blue, 64 GB)",4.5,90513,4,64,16.0,24.0,3260,23990
"vivo V17 (Glacier ice white, 128 GB)",4.5,8601,8,128,48.0,32.0,4500,27990
"vivo V9 (Pearl Black, 64 GB)",4.5,90513,4,64,16.0,24.0,3260,23990
"vivo V17 (Midnight Ocean Black, 128 GB)",4.5,8601,8,128,48.0,32.0,4500,27990
"vivo V15 Pro (Topaz Blue, 128 GB)",4.5,31254,6,128,48.0,32.0,3700,32990
"vivo V19 (Mystic Silver, 128 GB)",4.4,13534,8,128,48.0,32.0,4500,30990
"vivo X80 (Cosmic Black, 128 GB)",4.5,841,8,128,50.0,32.0,4500,54999
"vivo Y33T (Mid day dream, 128 GB)",4.4,2742,8,128,50.0,16.0,5000,17989
"vivo T1 5G (Silky White, 128 GB)",4.4,175223,6,128,50.0,16.0,5000,16990
"vivo Y75 5G (Starlight Black, 128 GB)",4.4,1370,8,128,50.0,16.0,5000,21990
"vivo V21 5G (Dusk Blue, 256 GB)",4.3,17455,8,256,64.0,44.0,4000,30990
"vivo V21 5G (Neon Spark, 128 GB)",4.3,17455,8,128,64.0,44.0,4000,27990
"vivo T1 5G (Rainbow Fantasy, 128 GB)",4.4,175223,6,128,50.0,16.0,5000,16990
"vivo Y20T (Obsidian Black, 64 GB)",4.3,2531,6,64,13.0,8.0,5000,15490
"vivo Y21 (Midnight Blue, 128 GB)",4.3,14939,4,128,13.0,8.0,5000,13499
"vivo Y21 (Diamond Glow, 128 GB)",4.3,14939,4,128,13.0,8.0,5000,13499
"vivo V23 Pro 5G (Sunshine Gold, 128 GB)",4.3,3848,8,128,108.0,50.0,4300,38990
"vivo Y31 (Racing Black, 128 GB)",4.4,8666,6,128,48.0,16.0,5000,15990
"vivo Y31 (Ocean Blue, 128 GB)",4.4,8666,6,128,48.0,16.0,5000,16290
"vivo Y12s (Glacier Blue, 32 GB)",4.3,16283,3,32,13.0,8.0,5000,9990
"vivo Y12s (Phantom Black, 32 GB)",4.3,16283,3,32,13.0,8.0,5000,9990
"vivo Y21 (Midnight Blue, 64 GB)",4.3,14939,4,64,13.0,8.0,5000,14499
"vivo V23 Pro 5G (Sunshine Gold, 256 GB)",4.2,1580,12,256,108.0,50.0,4300,43990
"vivo Y91i (Fusion Black, 32 GB)",4.3,43082,2,32,13.0,5.0,4030,7990
"vivo X60 (Shimmer Blue, 256 GB)",4.4,1077,12,256,48.0,32.0,4300,36600
"vivo Y20i (Nebula Blue, 64 GB)",4.4,10887,3,64,13.0,8.0,5000,9999
"vivo Y20A (Dawn White, 64 GB)",4.3,1912,3,64,13.0,8.0,5000,10990
"vivo Y53s (Deep Sea Blue, 128 GB)",4.3,19513,8,128,64.0,16.0,5000,20990
"vivo T1X (DIAMOND GLOW, 128 GB)",4.5,92258,4,128,50.0,8.0,5000,15495
