model,rating,n_ratings,ram_gb,storage_gb,b_camera_mp,f_camera_mp,battery_mah,price_inr
"realme C35 (Glowing Black, 128 GB)",4.3,16739,6,128,50.0,8.0,5000,11699
"realme X3 SuperZoom (Arctic White, 256 GB)",4.3,11117,8,256,64.0,32.0,4200,14999
"realme GT 2 (Paper Green, 128 GB)",4.3,9393,8,128,50.0,16.0,5000,23999
"realme C11 2021 (Cool Blue, 32 GB)",4.4,236693,2,32,8.0,5.0,5000,7499
"realme X3 SuperZoom (Glacier Blue, 256 GB)",4.2,2923,12,256,64.0,32.0,4200,17999
"realme GT 2 (Paper Green, 256 GB)",4.4,1313,12,256,50.0,16.0,5000,27999
"realme Narzo 30 (Racing Blue, 64 GB)",4.3,77321,6,64,48.0,16.0,5000,11499
"realme Narzo 30 (Racing Silver, 64 GB)",4.3,77321,6,64,48.0,16.0,5000,11499
"realme Narzo 30 (Racing Silver, 64 GB)",4.4,106846,4,64,48.0,16.0,5000,10499
"realme 8i (Space Black, 128 GB)",4.4,70506,6,128,50.0,16.0,5000,17999
"realme C11 2021 (Cool Grey, 32 GB)",4.4,236693,2,32,8.0,5.0,5000,7499
"realme Narzo 30 Pro 5G (Sword Black, 128 GB)",4.3,28717,8,128,48.0,16.0,5000,15999
"realme X3 SuperZoom (Arctic White, 256 GB)",4.2,2923,12,256,64.0,32.0,4200,17999
"realme X3 SuperZoom (Glacier Blue, 256 GB)",4.3,11117,8,256,64.0,32.0,4200,14999
"realme 8i (Space Purple, 64 GB)",4.5,174284,4,64,50.0,16.0,5000,11499
"realme Narzo 30 Pro 5G (Sword Black, 64 GB)",4.3,60355,6,64,48.0,16.0,5000,12999
"realme X3 SuperZoom (Arctic White, 128 GB)",4.3,11117,8,128,64.0,32.0,4200,12999
"realme 9i (Prism Black, 64 GB)",4.5,130575,4,64,50.0,16.0,5000,11999
"realme 9i (Prism Black, 128 GB)",4.5,130575,4,128,50.0,16.0,5000,13499
"realme C30s (Stripe Black, 64 GB)",4.2,6505,4,64,8.0,5.0,5000,8499
"realme Narzo 50A (Oxygen Blue, 64 GB)",4.4,342411,4,64,50.0,8.0,6000,11499
"realme 8 (Cyber Black, 128 GB)",4.4,96600,8,128,64.0,16.0,5000,15499
"realme 10 (Clash - White, 128 GB)",4.3,4676,8,128,50.0,16.0,5000,17999
"realme 9 Pro+ 5G (Midnight Black, 128 GB)",4.4,32551,8,128,50.0,16.0,4500,19999
"realme 9 5G (Supersonic Black, 64 GB)",4.5,41495,4,64,48.0,16.0,5000,13499
"realme Narzo 50A (Oxygen Green, 128 GB)",4.4,342411,4,128,50.0,8.0,6000,11495
"realme 9 5G (Meteor Black, 64 GB)",4.5,41495,4,64,48.0,16.0,5000,13499
"Realme C30 - Locked with Airtel Prepaid (Denim Black, 32 GB)",4.2,104291,2,32,8.0,5.0,5000,5549
"realme 9i (Prism Blue, 128 GB)",4.5,130575,4,128,50.0,16.0,5000,13499
"realme 9 Pro+ 5G (Midnight Black, 256 GB)",4.4,32551,8,256,50.0,16.0,4500,21999
"realme Narzo 50A (Oxygen Green, 64 GB)",4.4,342411,4,64,50.0,8.0,6000,12490
"realme GT Master Edition (Daybreak Blue, 256 GB)",4.3,62922,8,256,64.0,32.0,4300,24999
"realme GT Master Edition (Luna White, 256 GB)",4.3,62922,8,256,64.0,32.0,4300,24999
"realme 9 Pro+ 5G (Aurora Green, 256 GB)",4.4,32551,8,256,50.0,16.0,4500,21999
"realme C21 (Cross Blue, 64 GB)",4.4,149133,4,64,13.0,5.0,5000,10499
"realme C21 (Cross Black, 64 GB)",4.4,149133,4,64,13.0,5.0,5000,10499
"realme C21 (Cross Black, 32 GB)",4.4,72333,3,32,13.0,5.0,5000,9499
"realme 9 Pro+ 5G (Sunrise Blue, 256 GB)",4.4,32551,8,256,50.0,16.0,4500,21999
"realme Narzo 50A Prime (Flash Blue, 64 GB)",4.1,1238,4,64,50.0,8.0,5000,11199
"realme C30s (Stripe Blue, 64 GB)",4.2,6505,4,64,8.0,5.0,5000,9290
"realme GT Neo 3T (Dash Yellow, 128 GB)",4.3,19257,6,128,64.0,16.0,5000,34999
"realme GT Neo 3T (Drifting White, 256 GB)",4.3,13087,8,256,64.0,16.0,5000,38999
"realme C25_Y (Glacier Blue, 64 GB)",4.5,47528,4,64,50.0,8.0,5000,10999
"realme GT Neo 3T (Shade Black, 128 GB)",4.3,19257,6,128,64.0,16.0,5000,34999
"realme C25_Y (Metal Grey, 64 GB)",4.5,47528,4,64,50.0,8.0,5000,10999
"realme GT Neo 3T (Dash Yellow, 256 GB)",4.3,13087,8,256,64.0,16.0,5000,38999
"realme GT Neo 3T (Drifting White, 128 GB)",4.3,19257,6,128,64.0,16.0,5000,34999
"realme GT Neo 3T (Drifting White, 128 GB)",4.3,13087,8,128,64.0,16.0,5000,36999
"realme GT Neo 3T (Dash Yellow, 128 GB)",4.3,13087,8,128,64.0,16.0,5000,36999
"realme 9 Pro 5G (Midnight Black, 128 GB)",4.4,85111,6,128,64.0,16.0,5000,18999
"realme C25_Y (Metal Grey, 128 GB)",4.5,47528,4,128,50.0,8.0,5000,11999
"realme 8 5G (Supersonic Blue, 128 GB)",4.3,77567,4,128,48.0,16.0,5000,16499
"realme 6 Pro (Lightning Orange, 64 GB)",4.4,61201,6,64,64.0,16.0,4300,17999
"realme C25Y (Metal Grey, 64 GB)",4.4,139101,4,64,50.0,8.0,5000,10790
"realme 3i (Diamond Black, 64 GB)",4.4,80202,4,64,13.0,13.0,4230,10499
"realme 3i (Diamond Red, 64 GB)",4.4,80202,4,64,13.0,13.0,4230,10499
"realme 3i (Diamond Black, 32 GB)",4.4,304057,3,32,13.0,13.0,4230,8499
"realme 3i (Diamond Blue, 32 GB)",4.4,304057,3,32,13.0,13.0,4230,8499
"Realme C30 - Locked with Airtel Prepaid (Denim Black, 32 GB)",4.1,55030,3,32,8.0,5.0,5000,6049
"Realme C30 - Locked with Airtel Prepaid (Lake Blue, 32 GB)",4.1,55030,3,32,8.0,5.0,5000,6049
"realme GT 2 (Paper White, 256 GB)",4.4,1313,12,256,50.0,16.0,5000,32999
"realme GT 2 (Steel Black, 256 GB)",4.4,1313,12,256,50.0,16.0,5000,32299
"realme 9 (Sunburst Gold, 128 GB)",4.4,65374,6,128,108.0,16.0,5000,16999
"Realme C30 - Locked with Airtel Prepaid (Denim Black, 32 GB)",4.1,55030,3,32,8.0,5.0,5000,6049
"realme 9 (Meteor Black, 128 GB)",4.4,26968,8,128,108.0,16.0,5000,17999
"realme C12 (Power Silver, 32 GB)",4.4,324571,3,32,13.0,5.0,6000,10999
